pairID,Statement.QUESTION,Statement.RESPONSE,Case_ID.QUESTION,Question_ID.QUESTION
1,How can I help you today?,I've had really bad pain in my belly for the last 4 hours. My wife brought me in because it's so bad.,581607,560
1,What do you need today?,I've had really bad pain in my belly for the last 4 hours. My wife brought me in because it's so bad.,RZ,
1,Tell me what's going on today.,I've had really bad pain in my belly for the last 4 hours. My wife brought me in because it's so bad.,RZ,
2,Do you have any other symptoms or concerns you'd like to talk about?,I've been sick to my stomach and throwing up.,RZ,
2,"Medical or not, is there anything else you'd like to discuss today?",I've been sick to my stomach and throwing up.,RZ,
2,Do you have any other symptoms or concerns we should discuss?,I've been sick to my stomach and throwing up.,581607,336
3,When did your abdominal pain start?,Four hours ago.,581607,231-200
3,Do you remember when the pain in your abs started?,Four hours ago.,KM,
3,What time and day did this pain in your abs start? Do you remember?,Four hours ago.,KM,
4,What are the events surrounding the start of your abdominal pain?,Nothing out of the ordinary. I was just sitting in my chair watching Wheel of Fortune like I do every day when it just suddenly started hurting.,581607,600-200
4,Are there any events you can share with me that occurred around the same time as the start of your abdominal pain?,Nothing out of the ordinary. I was just sitting in my chair watching Wheel of Fortune like I do every day when it just suddenly started hurting.,RZ,
4,Did anything else happen when your abdominal pain began?,Nothing out of the ordinary. I was just sitting in my chair watching Wheel of Fortune like I do every day when it just suddenly started hurting.,RZ,
5,Can you think of anything that has made the pain better or worse?,"It doesn't matter what I do. It just hurts and it won't go away. This pain is just so bad. Please, can you help me? ",SP,
5,What makes the abdominal pain better or worse?,"It doesn't matter what I do. It just hurts and it won't go away. This pain is just so bad. Please, can you help me? ",SP,
5,Does anything make the pain in your abdomen better or worse?,"It doesn't matter what I do. It just hurts and it won't go away. This pain is just so bad. Please, can you help me? ",581607,234-200
6,"Is your pain affected by what, when or how much you eat?",I don't want to try eating anything right now.,581607,692
7,Do you have pain/discomfort when you are at rest?,Yes. I'm in pain right now!,581607,1369
8,Does the pain get worse with breathing?,No.,581607,681
9,"What does the pain/discomfort in your abdomen feel like? (cramping, burning, stabbing, aching, tingling, squeezing)",Sharp. It's bad!,581607,235-200
9,Tell me how the pain in your abdomen feels.,Sharp. It's bad!,RZ,
9,"Would you describe the pain in your abdomen as cramping, burning, stabbing, aching, tingling, or squeezing?",Sharp. It's bad!,RZ,
10,Where more precisely is your abdominal pain?,All over my belly. Everywhere!,581607,635
10,Can you please point to where your abdominal pain is the worst?,All over my belly. Everywhere!,RZ,
10,Tell me more specifically where the abdominal pain is most severe.,All over my belly. Everywhere!,RZ,
11,Is the pain in your abdomen superficial (on the surface) or deep inside?,Inside. Inside for sure!,581607,597-200
12,Do you have any abdominal bloating?,I don't think so.,581607,552-200
13,Does the pain in your abdomen radiate someplace else? Where?,"No, it's all in my belly.",581607,236-200
13,When you're feeling the abdominal pain does it spread to anywhere else?,"No, it's all in my belly.",SP,
13,Is the abdominal pain radiating anywhere else?,"No, it's all in my belly.",SP,
14,How severe (1-10 scale) is your abdominal pain?,"If 10 is bad, it's a 10.",581607,237-200
14,"With 1 being barely any pain and 10 being the worst pain you've felt in your life, how would you rank your abdominal pain?","If 10 is bad, it's a 10.",RZ,
14,How bad is your abdominal pain?,"If 10 is bad, it's a 10.",RZ,
15,Does the pain in your abdomen keep you from sleeping?,Don't know. Just started 4 hours ago.,581607,338-200
16,Have you had the pain in your abdomen before?,"No, I've never had anything like this.",581607,592-200
16,Has the pain in your abdomen happened before?,"No, I've never had anything like this.",KM,
16,Would you say that the pain in your abdomen has occured before?,"No, I've never had anything like this.",KM,
17,Any change in your abdominal pain since it began?,"No. It's not going away, I can tell you that.",581607,241-200
